hhid,sex,kq2_b,kq2_c,kq2_d,kq2_e,kq2_f,kq2_g,kq7,kq33_a,kq33_b,kq34,kq37,kq38,kq39,kq40,kq41,kq42
23209,2,1,4,4,4,4,2,3,1,1,3,1,1,1,1,1,1
52716,2,4,4,3,3,4,3,3,1,1,3,4,1,2,2,2,2
12012,2,3,2,2,2,3,2,1,3,1,3,2,1,1,2,2,1
16126,2,4,4,2,2,4,3,3,2,1,1,1,1,4,4,2,2
25243,2,4,3,2,4,3,4,3,1,1,3,2,1,1,1,1,1
12002,2,4,2,2,2,4,4,3,1,1,1,1,1,1,1,1,1
36107,2,3,3,1,2,4,3,1,2,1,2,3,1,1,2,2,1
14622,2,2,2,2,4,4,2,1,3,2,1,1,1,1,2,2,2
26048,2,1,1,3,2,3,2,3,4,2,2,3,1,4,2,2,1
22535,2,3,3,2,3,3,3,1,1,1,1,2,1,1,1,1,1
25019,2,2,2,2,3,3,2,1,1,1,3,1,1,1,2,2,1
17246,2,3,1,2,4,4,1,1,2,2,3,1,1,3,3,2,1
27632,2,3,1,3,1,4,4,3,1,1,1,2,1,1,1,1,1
13735,2,3,2,2,3,3,2,3,3,2,4,2,1,2,2,2,1
38601,2,3,3,2,3,4,3,3,4,1,3,3,1,3,1,1,1
30613,2,2,2,2,4,4,3,3,4,2,3,3,1,4,2,1,1
24207,2,4,2,1,2,4,3,1,2,1,3,2,1,3,2,1,1
32708,2,4,3,3,4,4,3,3,2,2,2,2,1,2,3,1,1
14114,2,2,3,4,3,1,3,1,1,3,1,4,1,1,1,2,1
19021,2,3,1,1,2,4,3,3,2,1,5,2,1,2,1,1,1
36014,2,4,2,1,1,4,2,2,1,1,2,1,1,1,2,2,2
18502,2,3,3,2,3,3,3,1,2,1,3,2,1,2,2,1,1
25520,2,3,1,2,3,1,2,3,1,3,4,2,1,3,3,2,1
10728,2,4,1,3,2,3,3,2,1,1,1,2,1,2,2,2,1
25219,2,3,3,3,4,3,4,1,1,1,2,2,1,4,4,2,1
49606,2,3,4,4,2,4,4,3,1,1,2,1,1,1,1,2,1
23639,2,4,1,3,2,4,4,3,2,1,2,1,1,2,1,1,1
11710,2,4,2,2,2,4,4,3,1,1,1,2,1,1,1,1,1
25146,2,4,1,4,4,4,4,3,2,1,3,1,1,1,1,1,1
19637,2,2,2,2,4,4,3,3,2,1,3,2,1,4,4,2,1
21043,2,4,2,2,3,4,3,3,1,1,1,1,1,1,1,2,2
19750,2,3,4,3,3,3,2,3,2,2,3,1,1,1,1,2,1
15007,2,2,2,1,2,4,2,3,2,2,2,2,1,1,4,2,1
20643,2,4,3,1,3,3,1,1,2,2,3,2,3,2,1,1,1
20024,2,4,4,3,4,4,4,1,1,1,4,1,1,4,4,2,1
22143,2,3,1,3,4,4,1,1,1,2,1,2,1,2,2,1,1
20653,2,3,3,4,4,3,2,1,2,2,2,3,1,2,2,2,1
15140,2,3,3,1,3,3,2,1,2,1,1,1,1,1,8,2,1
22029,2,2,1,1,1,4,3,1,1,2,3,2,1,1,2,1,1
20626,2,3,2,2,3,4,3,3,1,2,3,4,1,2,1,2,1
27631,2,2,2,2,4,4,3,1,3,2,4,2,1,4,4,2,1
52623,2,4,3,1,3,4,1,1,2,2,1,4,1,1,2,1,1
17641,2,4,3,3,4,4,2,1,1,1,1,3,1,4,4,2,1
22232,2,4,1,2,2,4,2,3,1,1,2,1,2,1,1,1,1
10501,2,3,1,1,4,4,3,3,1,1,1,1,1,2,2,1,1
13537,2,3,3,2,3,4,2,1,2,1,3,2,1,1,3,1,1
50008,2,4,2,2,3,4,3,1,2,1,1,1,1,2,2,2,1
29111,2,3,2,2,4,3,2,1,1,1,1,2,1,1,2,5,1
33706,2,4,3,3,2,3,3,3,1,1,1,1,1,4,4,1,1
19657,2,2,3,1,3,3,2,1,1,1,4,1,1,2,2,1,2
18616,2,2,3,3,3,3,2,1,1,1,4,2,1,1,4,2,1
14247,2,4,3,1,3,4,3,1,2,2,2,2,1,1,1,1,1
12140,2,3,4,2,3,2,3,3,1,1,3,1,1,2,1,1,1
15528,2,2,2,1,1,4,4,1,9,9,9,9,9,9,9,9,9
13213,2,2,2,2,3,2,2,1,3,1,3,2,2,2,2,2,1
52103,2,3,2,2,3,3,2,3,1,1,1,1,1,1,3,2,2
42719,2,3,2,2,4,4,3,1,1,2,2,2,2,1,2,2,1
13224,2,4,3,1,2,3,1,1,4,4,3,2,1,2,2,1,1
27153,2,2,1,1,1,4,3,3,2,2,1,1,1,1,1,1,1
19647,2,3,3,1,1,4,3,1,1,1,2,2,2,2,2,1,1
10220,2,3,1,4,4,8,4,1,2,1,1,4,1,1,4,2,1
52124,2,3,2,3,2,4,3,1,2,2,3,3,1,1,1,2,2
26223,2,3,2,2,4,3,2,3,2,1,2,3,2,1,2,1,1
20028,2,4,4,1,1,4,3,1,4,1,5,1,1,4,4,2,1
25629,2,3,2,1,4,4,1,1,2,2,3,1,1,1,2,2,1
19610,2,3,1,2,1,4,2,1,3,1,2,1,1,1,1,1,2
13009,2,4,2,1,3,4,2,1,4,1,1,2,1,1,3,1,1
18116,2,4,4,4,3,3,4,3,1,1,3,1,1,2,2,1,1
15748,2,4,1,1,3,4,3,3,1,1,1,1,1,2,2,1,1
32613,2,4,2,2,3,4,3,3,3,2,2,2,1,1,2,2,1
25015,2,3,1,2,1,4,3,1,1,1,2,3,1,1,1,1,1
22127,2,2,3,3,3,3,4,1,2,1,1,1,1,3,4,2,2
23004,2,3,4,3,4,4,4,1,3,1,1,2,2,2,2,1,1
11729,2,4,4,2,4,4,3,1,2,2,2,1,1,3,4,1,2
20228,2,4,1,1,4,4,3,1,4,2,3,2,1,1,3,1,1
11110,2,2,2,3,2,3,2,3,2,2,1,1,2,1,2,1,1
13623,2,3,2,1,4,3,2,1,3,1,3,2,1,1,2,2,2
24137,2,4,1,3,4,4,2,3,1,1,1,1,1,2,2,1,1
48613,2,3,1,1,3,3,2,2,2,2,3,2,1,2,2,1,1
25713,2,9,2,2,3,4,4,1,1,1,3,2,1,2,4,2,1
28716,2,2,1,1,2,4,2,2,1,1,1,1,1,1,1,2,1
26614,2,4,9,1,3,4,2,1,1,1,3,1,1,1,1,1,1
17725,2,3,3,2,1,4,3,3,3,1,2,2,1,1,1,2,1
14207,2,2,1,2,3,3,2,3,2,2,1,1,1,4,3,2,1
27603,2,4,3,2,3,4,3,1,1,2,4,1,1,3,2,1,1
12108,2,3,3,2,3,4,4,1,1,1,1,1,1,3,3,2,1
10610,2,2,1,4,4,4,4,1,1,1,3,2,1,2,2,2,1
14511,2,4,3,2,2,4,2,1,2,2,2,2,1,1,1,1,1
10121,2,4,3,3,4,4,3,1,1,1,2,1,1,1,2,2,1
25639,2,3,3,3,3,3,2,1,3,2,4,3,1,3,3,2,1
15548,2,4,4,4,1,4,3,3,2,2,2,4,1,3,3,1,1
27144,2,3,1,3,4,4,1,3,2,2,2,2,1,1,1,1,1
20542,2,3,3,3,4,3,4,1,2,1,3,3,1,2,3,1,1
24109,2,3,3,2,3,3,2,1,2,2,3,1,1,2,2,1,1
24202,2,4,2,1,1,4,3,3,2,1,3,1,1,1,2,1,1
37006,2,2,2,2,4,2,3,1,1,2,4,3,1,2,2,2,1
40002,2,2,2,1,4,4,4,1,1,1,1,2,1,2,2,2,1
18641,2,4,2,2,4,4,2,3,1,2,4,2,1,3,2,2,1
21715,2,3,3,3,3,4,3,1,1,1,5,3,1,1,1,2,1
35203,2,4,2,1,4,3,2,1,2,2,3,2,2,1,2,1,1
30104,2,2,1,1,4,4,4,3,1,1,5,1,1,2,1,1,1
16129,2,4,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1
28551,2,3,2,3,3,3,3,3,2,2,4,2,1,1,2,2,1
22530,2,3,1,1,3,4,3,1,2,1,3,2,1,2,2,1,1
20622,2,2,3,2,3,3,2,3,1,1,1,2,1,2,2,1,1
28736,2,2,2,3,4,4,2,3,2,2,3,4,1,1,1,2,1
32215,2,1,3,1,4,4,3,1,1,1,2,2,1,3,4,2,2
44506,2,1,2,2,4,3,2,3,2,2,2,1,1,1,2,1,1
19743,2,4,3,2,2,3,2,1,3,9,3,2,1,2,2,1,1
42105,2,3,2,1,1,4,3,1,3,1,1,1,1,1,2,1,1
52222,2,2,3,4,8,2,3,3,1,1,2,2,1,1,1,2,1
27217,2,2,1,4,4,4,3,2,2,2,1,2,1,2,2,2,1
17645,2,3,3,3,3,4,4,3,1,2,2,1,1,4,1,1,1
15029,2,4,1,1,3,4,1,1,1,1,2,2,1,4,2,1,1
27149,2,2,3,4,4,4,3,3,2,1,2,2,1,2,2,1,1
26646,2,3,9,4,3,3,2,1,1,1,3,4,1,4,4,1,1
52708,2,3,2,3,1,4,2,1,3,1,2,1,1,1,2,1,1
19036,2,3,2,2,3,3,2,3,2,1,3,2,1,1,8,2,1
40518,2,4,4,2,4,4,4,3,2,1,3,4,1,4,4,2,1
26616,2,4,1,4,3,4,2,1,2,1,4,3,1,2,4,1,1
30703,2,3,2,3,4,3,4,1,2,1,3,1,2,1,1,1,1
35515,2,4,1,1,3,4,3,1,2,2,1,2,1,1,1,1,1
28713,2,2,3,3,3,4,3,1,2,2,4,2,1,2,3,2,1
35103,2,2,2,2,2,4,3,3,1,2,2,2,2,2,2,2,1
35708,2,4,3,1,4,4,3,1,1,1,3,4,1,2,1,2,1
28101,2,4,2,1,4,4,4,3,2,1,4,1,1,2,4,2,2
18164,2,4,3,3,4,3,3,3,2,2,3,2,1,1,1,1,1
20534,2,4,4,1,3,4,2,1,2,2,2,2,1,2,2,1,1
20253,2,3,3,3,2,3,3,3,2,1,2,1,1,4,4,2,1
33508,2,4,4,4,3,2,3,1,2,1,2,1,1,2,1,1,2
23544,2,2,1,1,4,4,3,1,1,1,3,2,1,1,2,1,1
23228,2,4,3,2,4,4,3,3,1,1,2,1,1,4,4,2,1
29102,2,3,1,1,2,4,4,3,4,1,1,3,1,1,1,1,1
17237,2,2,2,2,4,4,2,3,1,1,1,1,1,3,3,1,1
34212,2,4,4,3,4,4,2,3,2,3,4,2,1,3,2,1,1
14102,2,2,3,2,4,3,4,3,2,2,3,1,1,1,2,2,1
38704,2,3,2,2,4,4,3,3,3,2,3,1,1,4,4,1,1
18053,2,3,4,4,4,4,2,1,2,2,3,2,1,2,2,1,1
10549,2,4,3,4,3,3,2,1,2,1,3,3,1,1,2,1,1
26518,2,4,1,3,4,2,2,1,2,2,4,1,1,2,2,1,1
20236,2,4,1,4,4,3,2,1,2,2,2,1,1,2,2,1,1
20528,2,2,4,4,1,2,2,1,2,1,2,1,2,4,4,1,1
10030,2,4,2,2,4,4,2,1,1,1,1,1,1,2,2,2,1
39705,2,2,2,3,3,4,3,3,2,2,2,1,1,2,2,1,1
16602,2,3,2,1,1,4,3,1,1,1,2,1,1,2,2,1,1
29203,2,1,2,1,3,4,3,3,1,1,2,2,1,1,1,1,1
17213,2,3,2,2,3,4,2,1,1,1,3,1,1,2,2,2,1
13109,2,4,2,1,4,4,2,1,1,2,2,1,1,2,3,1,1
10008,2,3,2,2,3,3,2,1,1,1,1,1,1,1,2,1,1
25152,2,4,2,1,4,4,2,2,2,1,4,2,1,1,4,2,1
44706,2,4,2,1,4,4,2,3,2,2,2,1,1,1,2,1,1
10550,2,3,3,2,3,2,3,3,1,2,1,4,1,2,2,2,1
17737,2,3,2,2,3,3,2,1,1,1,4,1,1,2,2,1,1
23234,2,1,1,2,2,4,2,2,2,2,1,1,1,2,2,2,1
23123,2,4,1,1,3,2,1,1,3,2,2,1,1,2,1,2,1
18766,2,3,2,3,3,4,2,1,2,2,3,3,2,4,3,1,1
52113,2,2,1,1,3,4,3,3,1,1,1,1,1,1,1,1,1
11636,2,4,2,4,3,4,4,3,2,1,2,1,1,2,4,2,2
24537,2,3,4,3,4,4,2,1,3,2,4,2,1,2,4,2,1
11504,2,1,1,1,4,4,2,1,1,1,1,1,1,2,1,1,1
25254,2,4,4,2,4,4,3,2,2,1,2,2,1,1,3,1,2
32011,2,4,2,4,4,4,2,1,2,2,2,1,1,1,1,2,1
22617,2,4,3,2,3,3,2,3,1,1,1,3,1,2,2,2,1
15205,2,4,2,2,8,3,3,1,2,1,3,3,1,4,4,1,1
18705,2,3,2,2,3,4,3,3,1,1,1,1,1,2,3,1,1
19602,2,2,3,1,2,4,2,1,2,1,2,2,1,1,1,2,1
28259,2,3,9,1,4,4,3,1,3,3,4,2,2,1,2,2,1
27709,2,2,2,4,4,3,2,1,2,2,4,2,1,1,1,1,1
10215,2,3,4,2,4,4,2,3,1,1,2,1,1,1,4,2,1
42013,2,1,4,1,4,4,1,1,1,1,2,3,1,4,3,1,1
22705,2,3,1,3,2,4,3,3,1,2,3,2,1,2,2,2,1
30505,2,4,1,2,4,4,3,1,1,1,2,2,1,1,1,2,1
49103,2,1,1,1,4,4,4,1,1,1,2,1,1,1,1,2,2
20262,2,3,3,4,4,3,2,1,4,4,3,2,1,2,2,1,1
20207,2,4,4,4,4,4,3,1,2,2,2,1,1,1,1,1,1
21526,2,3,1,2,3,4,2,1,2,1,4,1,1,1,2,2,1
10222,2,1,2,1,1,3,2,3,1,1,2,1,1,1,2,9,1
22116,2,3,3,1,1,4,2,3,2,1,3,2,1,4,4,1,1
38706,2,3,3,2,3,4,2,3,2,1,2,2,1,1,2,2,1
37616,2,2,1,2,3,4,4,3,1,2,2,1,1,2,4,1,1
26610,2,4,2,4,1,3,4,3,2,9,3,1,1,4,4,2,1
23053,2,3,2,1,1,4,3,3,1,1,1,1,1,1,1,1,1
32104,2,4,3,3,4,2,3,3,1,1,1,1,1,4,4,2,2
15141,2,3,3,2,2,4,3,1,2,1,2,4,2,1,1,2,1
24623,2,4,1,2,1,4,4,1,2,1,2,2,1,2,2,2,1
10641,2,4,2,3,3,4,4,1,1,1,3,1,1,2,2,1,1
14507,2,3,2,2,3,4,2,3,1,1,2,2,1,2,3,1,1
14111,2,3,1,1,2,1,3,1,1,2,4,3,1,2,2,1,1
14726,2,1,1,3,1,4,3,3,1,2,2,2,1,1,2,2,1
27621,2,2,3,1,3,4,3,1,2,1,2,2,1,2,2,1,1
31204,2,4,1,2,2,4,1,2,2,1,4,3,1,1,1,1,1
20645,2,2,2,3,1,4,2,1,2,1,2,2,4,1,2,2,1
28058,2,4,3,1,4,4,3,3,3,3,5,4,2,2,2,2,1
20654,2,3,2,2,3,3,2,3,1,2,2,2,1,1,2,2,2
18768,2,2,3,3,3,3,2,1,1,2,4,1,1,4,4,1,1
21021,2,2,3,1,3,4,3,1,1,1,2,2,1,2,2,2,1
12516,2,3,2,2,3,4,2,3,3,2,3,1,1,2,1,1,1
12142,2,3,3,3,3,3,3,3,1,1,2,1,1,4,4,2,1
14729,2,1,2,1,2,4,2,1,2,1,5,1,1,2,2,2,1
44025,2,4,2,4,4,4,3,3,2,1,2,2,1,1,1,2,1
18237,2,2,1,1,3,4,2,3,3,1,2,1,1,1,1,2,1
29227,2,3,1,2,3,4,3,1,1,2,3,1,1,1,1,1,2
50016,2,4,4,4,4,4,4,3,2,1,4,1,1,1,2,2,1
19626,2,3,3,1,4,4,4,3,2,1,2,3,1,1,1,1,1
24547,2,2,3,2,4,4,1,1,2,1,4,1,1,1,1,2,1
17207,2,3,1,1,3,3,2,1,2,1,2,1,1,2,2,2,1
20118,2,4,2,2,2,4,2,1,2,2,2,1,1,1,2,1,1
27640,2,4,4,3,4,4,4,3,2,2,3,3,1,4,4,1,1
24516,2,4,2,3,3,4,3,3,2,2,2,2,1,1,1,1,1
14716,2,3,4,4,4,4,4,1,1,1,1,2,1,4,4,5,1
25735,2,1,2,3,3,4,3,1,2,1,3,1,1,1,4,2,1
42103,2,4,4,1,2,3,3,2,4,1,4,3,1,4,4,2,1
28626,2,4,2,2,3,4,3,1,1,1,3,1,1,2,3,2,2
26245,2,4,4,3,4,4,3,3,2,1,2,4,1,4,4,1,1
14710,2,1,3,1,4,4,2,1,2,2,1,1,1,1,4,2,1
17620,2,4,1,4,4,2,4,3,1,1,2,2,1,1,1,1,2
24118,2,3,4,2,3,3,3,1,2,2,2,3,1,1,1,2,1
12105,2,2,2,2,2,3,3,3,2,1,1,1,1,2,3,1,1
50504,2,3,3,2,2,4,1,1,3,2,1,1,1,2,2,1,1
14149,2,2,1,2,2,4,1,1,2,2,3,1,1,3,3,2,1
12725,2,3,3,3,4,4,1,3,3,2,3,2,1,2,2,2,1
26528,2,3,2,1,2,4,1,1,2,3,4,3,1,1,2,1,1
17619,2,4,1,2,3,4,3,3,2,1,5,1,1,1,2,1,2
31112,2,2,4,2,4,4,2,1,1,1,1,1,2,1,1,2,1
24006,2,3,1,2,3,4,3,3,3,2,3,2,1,2,3,2,1
25719,2,4,2,3,1,4,2,1,1,2,2,1,2,2,4,2,2
22723,2,1,2,2,3,2,2,3,1,1,2,3,1,4,2,1,1
24509,2,2,2,1,1,4,3,1,1,1,2,1,1,2,1,2,1
17520,2,2,2,1,3,4,2,1,2,1,2,1,1,2,1,2,1
35129,2,4,4,1,9,4,4,1,2,1,2,2,1,4,4,2,1
33211,2,4,3,2,3,3,3,3,2,1,2,3,1,1,2,2,1
35019,2,3,4,4,1,3,1,1,2,9,2,1,1,3,3,2,1
19603,2,4,2,1,4,3,3,1,2,1,2,2,4,1,1,1,1
18244,2,2,2,3,3,4,2,1,1,1,3,3,1,2,2,2,1
35024,2,3,1,3,3,4,1,1,2,2,3,2,1,2,2,1,1
35123,2,1,1,4,4,1,2,1,2,2,2,4,1,1,3,2,1
27156,2,4,3,1,4,4,2,1,2,3,4,3,1,1,3,1,1
21205,2,4,3,4,3,4,4,3,2,9,4,1,1,2,3,2,1
25053,2,4,3,1,4,4,3,3,1,2,2,1,1,2,2,1,1
15206,2,3,2,2,3,4,2,1,1,1,4,1,1,4,2,1,1
22644,2,3,1,2,3,3,4,3,1,1,2,1,2,1,3,2,1
14018,2,3,2,3,4,3,2,1,2,2,1,1,1,2,2,2,1
15001,2,4,3,1,4,1,4,1,1,1,2,1,1,1,2,2,1
16620,2,2,2,3,3,4,1,1,3,3,4,4,1,1,3,2,1
22526,2,3,2,2,3,4,2,3,1,1,3,1,1,1,2,2,1
45005,2,4,3,4,1,1,3,3,1,1,1,1,1,1,2,1,1
18047,2,4,4,3,3,4,3,1,1,1,3,2,1,1,2,1,1
11023,2,4,4,3,3,4,4,1,2,1,3,2,1,2,1,1,2
25225,2,2,2,2,4,4,3,1,3,1,2,2,1,1,2,1,1
14129,2,4,1,3,4,4,3,3,2,1,3,2,1,1,1,1,1
12504,2,4,2,3,3,3,2,1,1,1,1,1,1,3,3,2,1
52220,2,4,4,3,3,3,4,3,1,1,2,1,1,1,1,2,1
25126,2,4,3,2,4,4,3,1,1,2,3,1,1,1,3,2,1
16614,2,4,3,2,3,4,3,3,1,1,3,1,1,1,1,1,1
43603,2,2,1,3,4,4,2,1,2,1,2,2,1,1,1,1,1
27722,2,3,1,4,4,4,3,1,4,2,4,3,1,3,4,2,1
12526,2,3,3,1,1,4,3,1,2,2,1,1,1,1,2,2,1
16542,2,3,1,2,2,4,2,1,2,1,4,3,1,1,2,2,1
24548,2,2,2,1,3,3,2,3,2,2,2,2,1,1,1,1,1
20710,2,3,2,2,4,4,3,1,2,2,3,3,1,1,2,2,1
24630,2,3,3,3,3,3,3,3,2,1,3,3,1,2,2,2,1
39210,2,4,3,1,1,4,2,1,2,2,2,2,1,2,1,2,1
20746,2,3,3,2,3,2,2,3,2,2,4,3,1,2,2,2,1
25229,2,1,2,4,3,4,3,3,2,1,2,1,1,1,4,2,1
14717,2,3,3,3,3,3,3,1,4,2,4,1,1,3,3,2,2
15203,2,2,1,1,3,4,3,1,2,2,2,1,1,1,1,1,2
36004,2,3,2,2,3,4,2,1,1,1,1,2,1,3,2,2,1
34503,2,2,1,2,3,2,9,3,2,1,3,3,1,1,1,1,1
51201,2,3,1,3,3,3,4,1,1,1,2,2,1,2,2,2,1
20172,2,2,4,4,4,2,3,2,1,2,2,1,1,4,4,2,1
15539,2,2,2,2,4,4,3,3,1,2,5,1,1,2,1,1,1
10624,2,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1
44508,2,4,1,2,4,4,2,1,1,1,3,2,1,1,2,2,1
32009,2,2,2,3,4,4,2,1,1,1,1,1,1,1,2,1,1
52506,2,3,2,2,3,3,2,3,2,2,3,3,1,4,4,1,1
36605,2,3,2,1,2,4,2,1,2,1,2,2,1,2,1,2,1
11517,2,2,2,2,3,4,1,3,4,1,3,1,1,2,2,2,1
17232,2,2,3,2,4,4,1,3,2,1,1,1,1,2,2,2,2
26009,2,4,3,3,4,4,2,1,2,1,2,2,1,4,4,1,1
27047,2,3,4,2,4,4,2,1,1,1,3,2,1,4,4,1,1
15633,2,4,4,1,3,4,3,3,2,2,3,1,1,1,1,1,1
25160,2,2,1,4,4,4,1,1,3,2,2,3,1,1,2,2,1
21713,2,4,2,2,3,4,2,1,1,1,2,2,1,2,2,1,1
24610,2,4,1,2,3,3,2,1,1,1,3,3,1,1,1,2,1
25743,2,3,2,1,3,4,3,1,3,1,3,2,1,1,1,2,1
27620,2,4,2,1,1,3,2,1,2,2,2,2,1,2,3,1,1
27010,2,3,2,4,4,4,3,1,3,1,2,1,1,1,4,2,1
26164,2,3,3,2,3,4,2,1,3,2,4,1,1,2,2,1,1
21113,2,2,2,1,3,4,1,1,2,1,2,2,1,1,1,1,1
18139,2,4,4,4,4,4,3,1,1,1,3,1,1,2,2,2,1
52717,2,4,4,3,8,1,3,1,2,3,2,4,1,3,3,2,1
29224,2,4,3,2,4,3,4,2,4,1,2,2,1,4,2,2,1
35111,2,4,3,1,4,4,3,1,3,1,2,2,1,1,2,2,1
22717,2,3,1,2,4,4,3,1,4,2,3,1,1,1,1,2,1
22532,2,1,2,1,3,4,2,1,2,1,3,2,1,2,2,1,1
43702,2,2,1,1,4,4,4,3,1,1,2,1,1,2,1,2,1
16045,2,3,2,4,3,4,3,1,2,1,2,1,1,1,2,1,1
31128,2,3,1,3,4,4,1,1,1,1,3,2,1,1,2,2,1
17216,2,4,2,2,3,3,2,1,4,4,2,1,1,1,3,2,1
52505,2,1,1,1,2,4,3,1,2,1,2,3,1,1,1,2,1
18626,2,3,2,2,3,3,2,3,2,2,4,3,1,2,2,1,2
29519,2,2,1,3,2,3,4,3,4,1,2,1,1,2,4,1,2
45622,2,4,1,2,2,3,1,3,3,9,2,3,1,2,2,1,2
25113,2,3,3,1,4,4,4,2,1,1,2,1,1,1,3,1,1
14025,2,2,1,2,3,4,3,2,1,1,1,1,2,4,3,1,1
13520,2,3,1,1,2,4,2,1,1,1,2,2,1,2,4,2,1
